short_size,long_size,v_enter,v_exit,trailing_sl,sma,total_PV,total_trades,VINE_PV,TRUMP_PV,kPEPE_PV,VINE_trades,TRUMP_trades,kPEPE_trades,param_key
7,34,0.6,1.1,1.05,4,672.7418112257175,368,483.9000575664341,350.13973754892396,-161.2979838896406,135,119,114,"(7, 34, np.float64(0.6), np.float64(1.1), 1.05, 4)"
7,34,0.6,1.1,1.05,5,579.8508881065977,362,430.1286840493916,360.3539083903429,-210.63170433313672,131,116,115,"(7, 34, np.float64(0.6), np.float64(1.1), 1.05, 5)"
7,34,0.6,1.1,1.05,3,433.7420026500078,368,461.8087338721298,250.7762427804304,-278.84297400255235,133,119,116,"(7, 34, np.float64(0.6), np.float64(1.1), 1.05, 3)"
7,34,0.6,1.1,1.05,6,675.0311633120343,359,488.8019788824494,349.5240658394427,-163.2948814098578,130,115,114,"(7, 34, np.float64(0.6), np.float64(1.1), 1.05, 6)"
7,34,0.6,1.1,1.1,6,649.4958136364467,335,431.6870765370292,367.03862537127424,-149.2298882718568,112,114,109,"(7, 34, np.float64(0.6), np.float64(1.1), 1.1, 6)"
7,34,0.6,1.1,1.1,3,412.3912791325929,342,431.8201139760682,269.6988695655317,-289.12770440900704,115,117,110,"(7, 34, np.float64(0.6), np.float64(1.1), 1.1, 3)"
7,34,0.6,1.1,1.1,4,590.0846700932293,342,394.4164629919643,369.0997211416341,-173.4315140403691,117,117,108,"(7, 34, np.float64(0.6), np.float64(1.1), 1.1, 4)"
7,34,0.6,1.1,1.1,5,514.9165356829133,338,333.6521357634835,377.8311111145655,-196.56671119513567,113,115,110,"(7, 34, np.float64(0.6), np.float64(1.1), 1.1, 5)"
7,34,0.7,1.1,1.05,3,647.5573517298528,417,691.0377889110415,222.42718291992475,-265.90762010111354,148,135,134,"(7, 34, np.float64(0.7), np.float64(1.1), 1.05, 3)"
7,34,0.7,1.1,1.05,5,699.7717833706976,408,628.1809842617317,329.8296342848389,-258.2388351758731,145,132,131,"(7, 34, np.float64(0.7), np.float64(1.1), 1.05, 5)"
7,34,0.7,1.1,1.05,4,843.2229652708113,416,732.8063762478628,311.07357354064567,-200.65698451769714,150,135,131,"(7, 34, np.float64(0.7), np.float64(1.1), 1.05, 4)"
7,34,0.7,1.1,1.05,6,765.5955453348265,404,650.92169363676,319.94053935273666,-205.2666876546702,144,131,129,"(7, 34, np.float64(0.7), np.float64(1.1), 1.05, 6)"
7,34,0.7,1.1,1.1,4,772.9829152905859,384,615.5993480710059,331.50558845955294,-174.12202123997298,130,132,122,"(7, 34, np.float64(0.7), np.float64(1.1), 1.1, 4)"
7,34,0.7,1.1,1.1,3,638.9640151814529,385,633.6137752781024,242.82184103122293,-237.47160112787242,128,132,125,"(7, 34, np.float64(0.7), np.float64(1.1), 1.1, 3)"
